results_id,results_name,results_image,results_types,results_styles,results_latitude,results_longitude,results_isSpecialPin,results_rating,results_priceClass,results_address,results_city,results_hasOffer,results_distance,results_isClubMember,results_slug,results_HasReservation,totalResults,page,totalPages,data,url,update_date
1a469b54-7ecb-4d36-b5be-b2d5f4e3b013,جارچی باشی (اصفهان),https://2.fidilio.com/storage/images/thumbs/1a469b54-7ecb-4d36-b5be-b2d5f4e3b013_0.jpg,[1],"['سفره خانه', 'ایرانی']",32.6637,51.6752777,False,6.900000095367432,2.0,اصفهان.خیابان سپه - خیابان حکیم - کوچه هفتم یا کوچه باغ قلندرها-مجموعه تاریخی و اقامتی ملک سلطان جارچی باشی,اصفهان,False,15 km,False,jarchibashiesfehan,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/jarchibashiesfehan,2023-02-03 06:25:37.031342
1368fdd9-9af2-4800-a1bf-8eae74c774aa,حکیم باشی (اصفهان),https://2.fidilio.com/storage/Images/thumbs/efa604fb-e940-45df-a3e3-a49702c3ef8c.jpg,[1],['ایرانی'],32.66038,51.6740837,False,0.0,2.0,خیابان حکیم باشی، بازار بزرگ حکیم، طبقه اول,اصفهان,False,15 km,False,hakimbashi,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/hakimbashi,2023-02-03 06:25:37.031342
b5c98e0f-f782-457e-bab5-2a43d9a69f22,دستان (اصفهان),https://2.fidilio.com/storage/Images/thumbs/328f2182-fbe1-4f63-8ace-fd6720c729f5.jpg,[2],['کافه'],32.65917,51.6734,False,0.0,2.0,خیابان سپه، کوچه کازرونی,اصفهان,False,15 km,False,dastan_esfahan,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/dastan_esfahan,2023-02-03 06:25:37.031342
7bf27f08-a73d-4e3e-8ee2-310a54971004,فرهنگ (اصفهان),https://2.fidilio.com/storage/Images/thumbs/6b5e9336-6345-4946-9e06-c87232306b3d.jpg,[2],['کافه'],32.6463661,51.6665955,False,7.400000095367432,2.0," خیابان کمال اسماعیل، طبقه زیرین پل جوئی

",اصفهان,False,14.9 km,False,farhang_esfahan,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/farhang_esfahan,2023-02-03 06:25:37.031342
dfb817d6-45b6-447b-807a-ef29d5b32b0d,شهرزاد (اصفهان),https://2.fidilio.com/storage/images/thumbs/dfb817d6-45b6-447b-807a-ef29d5b32b0d_0.jpg,[1],['ایرانی'],32.648777,51.667408,False,8.300000190734863,3.0,خیابان چهارباغ عباسی .خیابان عباس آباد,اصفهان,False,14.8 km,False,shahrzad-rest,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/shahrzad-rest,2023-02-03 06:25:37.031342
730da530-eae9-463d-bd77-406fdf2894e5,تئاتر,https://2.fidilio.com/storage/images/thumbs/730da530-eae9-463d-bd77-406fdf2894e5_0.jpg,[2],['کافه'],32.6537971,51.6692352,False,8.2,1.0,خیابان چهارباغ عباسی ، رو به روی شیخ بهایی ، مجتمع هشت بهشت ، ورودی سرای هشت بهشت ، طبقه اول,اصفهان,False,14.8 km,False,Teatr,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/Teatr,2023-02-03 06:25:37.031342
012cf5f2-9cd9-4708-864c-769aff483b62,بستنی لابریت (چهار باغ),https://2.fidilio.com/storage/images/thumbs/012cf5f2-9cd9-4708-864c-769aff483b62_0.jpg,[2],['بستنی فروشی'],32.6535263,51.668972,False,7.6,1.0,چهارباغ بالا، نبش کوچه رییسی، پلاک 39,اصفهان,False,14.8 km,False,laberitchaharbagh,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/laberitchaharbagh,2023-02-03 06:25:37.031342
eab42351-53fb-4bff-ab86-535d4c7a5456,جگر سرای پارک,https://2.fidilio.com/storage/images/thumbs/eab42351-53fb-4bff-ab86-535d4c7a5456_0.jpg,[1],['کبابی'],32.655117,51.6695824,False,7.599999904632568,2.0,خیابان چهارباغ عباسی ،جنب پارک شهید رجایی ، دل وجگر و جوجه کبابی پارک,اصفهان,False,14.8 km,False,Jegarsarayepark,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/Jegarsarayepark,2023-02-03 06:25:37.031342
84676c4e-3659-42d6-91cc-69bdd78f7b3a,سنس,https://2.fidilio.com/storage/images/Thumbs/365bd769-4aa7-444b-94f9-169a1a4ae5e1.jpg,"[1, 2]","['فرنگی', 'کافه']",32.6282425,51.6538,False,0.0,2.0,خیابان شریعتی غربی ، چهارراه محتشم کاشانی ، جنب آموزشگاه حافظ ,اصفهان,False,14.8 km,False,sense_esfahan,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/sense_esfahan,2023-02-03 06:25:37.031342
5d9d353f-44b3-489f-bc9b-ec6721fd544b,نیوشا,https://2.fidilio.com/storage/Images/thumbs/2b3cd021-5ddf-4a1d-b32c-c5edf1f99f8e.jpg,[1],"['فرنگی', 'ایتالیایی']",32.6350975,51.6585846,False,8.199999809265137,2.0,حدفاصل چهارراه توحيد و مهرداد(قندي) بعد از بانك صادرات,اصفهان,False,14.8 km,False,nioshash,False,39,0,1,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/nioshash,2023-02-03 06:25:37.031342
