lat,lng,api_data
35.4394,51.5689,Radius=15000&SortBy=1&latitude=35.4394&longitude=51.5689&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2714,51.6511,Radius=15000&SortBy=1&latitude=35.2714&longitude=51.6511&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.22,58.82,Radius=15000&SortBy=1&latitude=36.22&longitude=58.82&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.0211,50.3564,Radius=15000&SortBy=1&latitude=35.0211&longitude=50.3564&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.7,51.5211,Radius=15000&SortBy=1&latitude=32.7&longitude=51.5211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.4611,52.8606,Radius=15000&SortBy=1&latitude=36.4611&longitude=52.8606&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.5644,51.1647,Radius=15000&SortBy=1&latitude=35.5644&longitude=51.1647&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.4667,57.3333,Radius=15000&SortBy=1&latitude=37.4667&longitude=57.3333&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
28.9667,50.8333,Radius=15000&SortBy=1&latitude=28.9667&longitude=50.8333&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.5833,53.3833,Radius=15000&SortBy=1&latitude=35.5833&longitude=53.3833&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.5503,44.9519,Radius=15000&SortBy=1&latitude=38.5503&longitude=44.9519&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.7247,50.9883,Radius=15000&SortBy=1&latitude=35.7247&longitude=50.9883&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.8664,59.2211,Radius=15000&SortBy=1&latitude=32.8664&longitude=59.2211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.3919,46.2392,Radius=15000&SortBy=1&latitude=37.3919&longitude=46.2392&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.47,55.73,Radius=15000&SortBy=1&latitude=29.47&longitude=55.73&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.8639,51.5475,Radius=15000&SortBy=1&latitude=32.8639&longitude=51.5475&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.2942,48.82,Radius=15000&SortBy=1&latitude=34.2942&longitude=48.82&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.765,45.721,Radius=15000&SortBy=1&latitude=36.765&longitude=45.721&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.2497,46.2733,Radius=15000&SortBy=1&latitude=36.2497&longitude=46.2733&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.5589,49.1981,Radius=15000&SortBy=1&latitude=30.5589&longitude=49.1981&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.4,56.0,Radius=15000&SortBy=1&latitude=30.4&longitude=56.0&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.3256,50.8644,Radius=15000&SortBy=1&latitude=32.3256&longitude=50.8644&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.7793,46.5967,Radius=15000&SortBy=1&latitude=33.7793&longitude=46.5967&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.25,55.1672,Radius=15000&SortBy=1&latitude=37.25&longitude=55.1672&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.4086,54.9733,Radius=15000&SortBy=1&latitude=36.4086&longitude=54.9733&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.8742,52.8025,Radius=15000&SortBy=1&latitude=29.8742&longitude=52.8025&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.1118,58.5015,Radius=15000&SortBy=1&latitude=37.1118&longitude=58.5015&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
28.5,53.56,Radius=15000&SortBy=1&latitude=28.5&longitude=53.56&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.8622,50.8717,Radius=15000&SortBy=1&latitude=35.8622&longitude=50.8717&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2739,59.2194,Radius=15000&SortBy=1&latitude=35.2739&longitude=59.2194&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.6944,45.1417,Radius=15000&SortBy=1&latitude=36.6944&longitude=45.1417&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.5269,46.1761,Radius=15000&SortBy=1&latitude=35.5269&longitude=46.1761&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.45,48.35,Radius=15000&SortBy=1&latitude=32.45&longitude=48.35&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.0089,51.8667,Radius=15000&SortBy=1&latitude=32.0089&longitude=51.8667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.0308,61.4972,Radius=15000&SortBy=1&latitude=31.0308&longitude=61.4972&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.4333,48.1833,Radius=15000&SortBy=1&latitude=30.4333&longitude=48.1833&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.4167,45.7667,Radius=15000&SortBy=1&latitude=38.4167&longitude=45.7667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
28.6781,57.7406,Radius=15000&SortBy=1&latitude=28.6781&longitude=57.7406&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.2,44.7667,Radius=15000&SortBy=1&latitude=38.2&longitude=44.7667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.1083,58.3583,Radius=15000&SortBy=1&latitude=29.1083&longitude=58.3583&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.5958,50.2417,Radius=15000&SortBy=1&latitude=30.5958&longitude=50.2417&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.4933,49.075,Radius=15000&SortBy=1&latitude=33.4933&longitude=49.075&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.9522,50.6075,Radius=15000&SortBy=1&latitude=35.9522&longitude=50.6075&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.7631,50.9172,Radius=15000&SortBy=1&latitude=35.7631&longitude=50.9172&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
28.9381,53.6481,Radius=15000&SortBy=1&latitude=28.9381&longitude=53.6481&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.4667,49.4667,Radius=15000&SortBy=1&latitude=37.4667&longitude=49.4667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.2667,51.2158,Radius=15000&SortBy=1&latitude=29.2667&longitude=51.2158&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.9975,45.8853,Radius=15000&SortBy=1&latitude=35.9975&longitude=45.8853&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.6667,51.5833,Radius=15000&SortBy=1&latitude=30.6667&longitude=51.5833&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
25.2836,60.6236,Radius=15000&SortBy=1&latitude=25.2836&longitude=60.6236&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.4847,51.0828,Radius=15000&SortBy=1&latitude=35.4847&longitude=51.0828&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.1283,50.1764,Radius=15000&SortBy=1&latitude=36.1283&longitude=50.1764&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2383,58.4656,Radius=15000&SortBy=1&latitude=35.2383&longitude=58.4656&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.0436,48.8569,Radius=15000&SortBy=1&latitude=32.0436&longitude=48.8569&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.475,47.0603,Radius=15000&SortBy=1&latitude=38.475&longitude=47.0603&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.9333,49.3,Radius=15000&SortBy=1&latitude=31.9333&longitude=49.3&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2439,60.6225,Radius=15000&SortBy=1&latitude=35.2439&longitude=60.6225&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.6167,51.65,Radius=15000&SortBy=1&latitude=29.6167&longitude=51.65&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.6536,51.755,Radius=15000&SortBy=1&latitude=32.6536&longitude=51.755&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.3967,57.9294,Radius=15000&SortBy=1&latitude=37.3967&longitude=57.9294&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.25,54.0167,Radius=15000&SortBy=1&latitude=32.25&longitude=54.0167&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.7297,51.8619,Radius=15000&SortBy=1&latitude=35.7297&longitude=51.8619&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.4006,49.6947,Radius=15000&SortBy=1&latitude=33.4006&longitude=49.6947&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.3403,46.0561,Radius=15000&SortBy=1&latitude=37.3403&longitude=46.0561&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.0694,49.6958,Radius=15000&SortBy=1&latitude=36.0694&longitude=49.6958&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
